426
a        8	
ai       9	
an       0	
ang      ;	
ao       l	
b        1	
ba       18	
bai      19	
ban      10	
bang     1;	
bao      1l	
bei      1o	
ben      1p	
beng     1/	
bi       1u	
bian     1u0	
biao     1ul	
bie      1u,	
bin      1up	
bing     1u/	
bo       1i	
bu       1j	
c        h	
ca       h8	
cai      h9	
can      h0	
cang     h;	
cao      hl	
ce       hk	
cen      hp	
ceng     h/	
cha      t8	
chai     t9	
chan     t0	
chang    t;	
chao     tl	
che      tk	
chen     tp	
cheng    t/	
chi      t	
chong    tj/	
chou     t.	
chu      tj	
chua	 tj8
chuai    tj9	
chuan    tj0	
chuang   tj;	
chui     tjo	
chun     tjp	
chuo     tji	
ci       h	
cong     hj/	
cou      h.	
cu       hj	
cuan     hj0	
cui      hjo	
cun      hjp	
cuo      hji	
d        2	
da       28	
dai      29	
dan      20	
dang     2;	
dao      2l	
de       2k   
dei      2o   
deng     2/   
di       2u   
dian     2u0 
diao     2ul 
die      2u, 
ding     2u/ 
diu      2u. 
dong     2j/ 
dou      2.   
du       2j   
duan     2j0 
dui      2jo 
dun      2jp 
duo      2ji 
e        k     
ei       o     
en       p     
eng      /     
er       -     
f        z     
fa       z8   
fan      z0   
fang     z;   
fei      zo   
fen      zp   
feng     z/   
fo       zi   
fou      z.   
fu       zj   
g        e     
ga       e8   
gai      e9   
gan      e0   
gang     e;   
gao      el   
ge       ek   
gei      eo   
gen      ep   
geng     e/   
gong     ej/ 
gou      e.   
gu       ej   
gua      ej8 
guai     ej9 
guan     ej0 
guang    ej; 
gui      ejo 
gun      ejp 
guo      eji 
h        c     
ha       c8   
hai      c9   
han      c0   
hang     c;   
hao      cl   
he       ck   
hei      co	
hen      cp   
heng     c/   
hong     cj/ 
hou      c.   
hu       cj   
hua      cj8 
huai     cj9 
huan     cj0 
huang    cj; 
hui      cjo 
hun      cjp 
huo      cji 
j        r     
ji       ru   
jia      ru8 
jian     ru0 
jiang    ru; 
jiao     rul 
jie      ru, 
jin      rup 
jing     ru/ 
jiong    rm/ 
jiu      ru. 
ju       rm   
juan     rm0 
jue      rm, 
jun      rmp 
k        d     
ka       d8   
kai      d9   
kan      d0   
kang     d;   
kao      dl   
ke       dk   
ken      dp   
keng     d/   
kong     dj/ 
kou      d.   
ku       dj   
kua      dj8 
kuai     dj9 
kuan     dj0 
kuang    dj; 
kui      djo 
kun      djp 
kuo      dji 
l        x     
la       x8   
lai      x9   
lan      x0   
lang     x;   
lao      xl   
le       xk   
lei      xo   
leng     x/   
li       xu   
lia      xu8 
lian     xu0 
liang    xu;	
liao     xul 
lie      xu, 
lin      xup 
ling     xu/ 
liu      xu. 
long     xj/ 
lou      x.   
lu       xj   
luan     xj0 
lue      xm, 
lun      xjp 
luo      xji 
luu      xm   
lv       xm   
m        a     
ma       a8   
mai      a9   
man      a0   
mang     a;   
mao      al   
me       ak   
mei      ao   
men      ap   
meng     a/   
mi       au   
mian     au0 
miao     aul 
mie      au, 
min      aup 
ming     au/ 
miu	 au.
mo       ai   
mou      a.   
mu	 aj   
na       s8   
nai      s9   
nan      s0   
nang     s;   
nao      sl   
ne       sk   
nei      so   
nen	 sp
neng     s/   
ni       su   
nian     su0 
niang    su; 
niao     sul 
nie      su, 
nin      sup 
ning     su/ 
niu      su. 
nong     sj/ 
nou      s.   
nu       sj   
nuan     sj0 
nuo      sji 
nue      sm, 
nuu      sm   
nv       sm   
o        i     
ou       .	
p        q     
pa       q8   
pai      q9   
pan      q0   
pang     q;   
pao      ql   
pei      qo   
pen      qp   
peng     q/   
pi       qu   
pian     qu0 
piao     qul 
pie      qu, 
pin      qup 
ping     qu/ 
po       qi   
pou      q.   
pu       qj   
q        f     
qi       fu   
qia      fu8 
qian     fu0 
qiang    fu; 
qiao     ful 
qie      fu, 
qin      fup 
qing     fu/ 
qiong    fm/ 
qiu      fu. 
qu       fm   
quan     fm0 
que      fm, 
qun      fmp 
r        b     
ran      b0   
rang     b;   
rao      bl   
re       bk   
ren      bp   
reng     b/   
ri       b     
rong     bj/ 
rou      b.   
ru       bj   
ruan	 bj0 
rui      bjo 
run      bjp 
ruo      bji 
s        n     
sa       n8   
sai      n9   
san      n0   
sang     n;   
sao      nl   
se       nk   
sen      np   
seng     n/   
sh       g     
sha      g8   
shai     g9   
shan     g0   
shang    g;   
shao     gl   
she      gk   
shei     go   
shen     gp   
sheng    g/   
shi      g     
shou     g.   
shu      gj   
shua     gj8 
shuai    gj9 
shuan    gj0 
shuang   gj; 
shui     gjo 
shuo     gji 
shun     gjp 
si       n     
song     nj/ 
sou      n.   
su       nj   
suan     nj0 
sui      njo 
sun      njp 
suo      nji 
t        w     
ta       w8   
tai      w9   
tan      w0   
tang     w;   
tao      wl   
te       wk   
teng     w/   
ti       wu   
tian     wu0 
tiao     wul 
tie      wu, 
ting     wu/ 
tong     wj/ 
tou      w.   
tu       wj   
tuan     wj0 
tui      wjo 
tun      wjp
tuo      wji
wa       j8   
wai      j9   
wan      j0   
wang     j;   
wei      jo   
wen      jp   
weng     j/   
wo       ji   
wu       j     
x        v     
xi       vu   
xia      vu8 
xian     vu0 
xiang    vu; 
xiao     vul 
xie      vu, 
xin      vup 
xing     vu/ 
xiong    vm/ 
xiu      vu. 
xu       vm   
xuan     vm0 
xue      vm, 
xun      vmp 
ya       u8   
yai	 u9   
yan      u0   
yang     u;   
yao      ul   
ye       u,   
yi       u     
yin      up   
ying     u/   
yo       ui   
yong     m/   
you      u.   
yu       m     
yuan     m0   
yue      m,   
yun      mp   
z        y   	
za       y8   
zai      y9   
zan      y0   
zang     y;   
zao      yl   
ze       yk   
zei      yo   
zen      yp   
zeng     y/   
zh       5   	
zha      58   
zhai     59   
zhan     50   
zhang    5;   
zhao     5l   
zhe      5k   
zhen     5p   
zheng    5/   
zhi      5   	
zhong    5j/ 
zhou     5.   
zhu      5j   
zhua     5j8 
zhuai    5j9 
zhuan    5j0 
zhuang   5j; 
zhui     5jo 
zhun     5jp 
zhuo     5ji 
zi       y   	
zong     yj/ 
zou      y.   
zu       yj   
zuan     yj0 
zui      yjo 
zun      yjp 
zuo      yji 
