乘	乗
亂	乱
云	伝
亞	亜
佛	仏
來	来
值	値
個	箇
假	仮
做	作
傳	伝
僱	雇
價	価
儉	倹
兇	凶
兒	児
內	内
兩	両
冰	氷
几	机
剋	克
剩	剰
劃	画
劍	剣
劑	剤
勞	労
勛	勲
勵	励
勸	勧
區	区
卷	巻
卻	却
參	参
叛	反
吳	呉
單	単
嚴	厳
囑	嘱
圈	圏
國	国
圍	囲
圓	円
團	団
圖	図
增	増
墮	堕
壓	圧
壘	塁
壞	壊
壤	壌
壯	壮
壹	壱
壽	寿
奧	奥
妝	粧
姊	姉
娘	嬢
娛	娯
姬	姫
學	学
實	実
寢	寝
寬	寛
寫	写
寶	宝
專	専
將	将
對	対
屆	届
屬	属
峽	峡
嶽	岳
巢	巣
帶	帯
廢	廃
廣	広
廳	庁
彈	弾
徑	径
從	従
徬	傍
德	徳
徵	徴
恆	恒
悅	悦
惡	悪
惠	恵
惱	悩
慘	惨
慾	欲
應	応
懷	懐
戀	恋
戰	戦
戲	戯
戶	戸
戾	戻
托	託
拂	払
拔	抜
拜	拝
挾	挟
捲	巻
插	挿
揭	掲
搜	捜
搖	揺
撥	発
據	拠
擇	択
擔	担
擊	撃
擴	拡
攝	摂
攜	携
收	収
效	効
啟	啓
敘	叙
數	数
斷	断
晝	昼
晚	晩
曆	暦
曉	暁
會	会
果	菓
杰	傑
查	査
桌	卓
條	条
棧	桟
棋	碁
榮	栄
樣	様
樞	枢
樓	楼
樂	楽
橫	横
檢	検
櫻	桜
權	権
歐	欧
歡	歓
步	歩
歲	歳
歷	歴
歸	帰
歿	没
殘	残
殼	殻
毆	殴
每	毎
毓	育
氛	雰
氣	気
汙	汚
沉	沈
沒	没
涉	渉
淺	浅
淚	涙
淨	浄
渴	渇
溼	湿
溫	温
溪	渓
滿	満
滯	滞
潑	発
潛	潜
澤	沢
濱	浜
濟	済
澀	渋
瀨	瀬
灣	湾
熔	溶
燒	焼
燈	灯
營	営
爐	炉
爭	争
犧	犠
狀	状
狹	狭
獎	奨
獨	独
獵	猟
獸	獣
獻	献
瓣	弁
產	産
畫	画
當	当
疊	畳
疏	疎
痲	麻
瘉	癒
發	発
皈	帰
盃	杯
盜	盗
盡	尽
眾	衆
碎	砕
磺	黄
礦	鉱
祕	秘
禦	御
禪	禅
禮	礼
萬	万
稅	税
稱	称
稻	稲
穗	穂
穩	穏
窗	窓
竊	窃
笑	咲
粹	粋
絃	弦
絕	絶
絲	糸
經	経
綠	緑
緣	縁
縣	県
縲	累
總	総
縱	縦
繅	繰
繩	縄
繪	絵
繼	継
續	続
纖	繊
缺	欠
缽	鉢
罐	缶
聲	声
聽	聴
肅	粛
脣	唇
脫	脱
腳	脚
腦	脳
膽	胆
臟	臓
臺	台
與	与
舉	挙
舊	旧
舍	舎
荐	薦
莖	茎
莊	荘
著	着
藏	蔵
薰	薫
藝	芸
藥	薬
處	処
虛	虚
號	号
螢	蛍
蟲	虫
蠶	蚕
蠻	蛮
裝	装
裡	裏
覺	覚
覽	覧
觀	観
觸	触
註	注
說	説
諷	風
謠	謡
證	証
譯	訳
譽	誉
讀	読
變	変
讓	譲
谿	渓
豐	豊
豫	予
貓	猫
貳	弐
賣	売
賴	頼
贊	賛
踐	践
踴	踊
輕	軽
轉	転
辨	弁
辭	辞
辯	弁
迴	回
遞	逓
遲	遅
邊	辺
鄉	郷
鄰	隣
醉	酔
醋	酢
醫	医
釀	醸
釋	釈
釐	厘
鋪	舗
銳	鋭
錢	銭
錄	録
鍊	錬
鎔	溶
鐵	鉄
鑄	鋳
鑒	鑑
閒	閑
閱	閲
關	関
阪	坂
陷	陥
隨	随
險	険
隱	隠
隸	隷
雜	雑
雙	双
雞	鶏
霸	覇
靈	霊
靜	静
顏	顔
顯	顕
颱	台
餘	余
馱	駄
騷	騒
驅	駆
驛	駅
驗	験
髓	髄
體	体
髮	髪
鬥	闘
鹽	塩
麥	麦
黃	黄
黏	粘
黑	黒
默	黙
點	点
黨	党
齊	斉
齋	斎
齒	歯
齡	齢
龍	竜
